chemcode	name	cas
api	A-alpha-C	26148-68-5
ask	ACESULFAME-K	55589-62-3
ace	ACETALDEHYDE	75-07-0
mfh	ACETALDEHYDE METHYLFORMYLHYDRAZONE	16568-02-8
acx	ACETALDOXIME	107-29-9
aam	ACETAMIDE	60-35-5
hya	ACETAMINOPHEN	103-90-2
axa	ACETOHEXAMIDE	968-81-0
afh	ACETONE[4-(5-NITRO-2-FURYL)-2-THIAZOLYL]HYDRAZONE	18523-69-8
acn	ACETONITRILE	75-05-8
atx	ACETOXIME	127-06-0
asf	1'-ACETOXYSAFROLE	34627-78-6
ahp	N'-ACETYL-4-(HYDROXYMETHYL)PHENYLHYDRAZINE	65734-38-5
anh	1-ACETYL-2-ISONICOTINOYLHYDRAZINE	1078-38-2
amp	"3-ACETYL-6-METHYL-2,4-PYRANDIONE"	520-45-6
aph	1-ACETYL-2-PHENYLHYDRAZINE	114-83-0
abp	4-ACETYLAMINOBIPHENYL	4075-79-0
fam	1-ACETYLAMINOFLUORENE	28314-03-6
aaf	2-ACETYLAMINOFLUORENE	53-96-3
aau	"2,7-ACETYLAMINOFLUORENE"	304-28-9
fla	4-ACETYLAMINOFLUORENE	28322-02-3
aap	4-ACETYLAMINOPHENYLACETIC ACID	18699-02-0
acc	N-ACETYLCYSTEINE	616-91-1
aff	ACIFLUORFEN	50594-66-6
acl	ACROLEIN	107-02-8
aci	ACROLEIN DIETHYLACETAL	3054-95-3
aco	ACROLEIN OXIME	5314-33-0
anc	ACRONYCINE	7008-42-6
acd	ACRYLAMIDE	79-06-1
acy	ACRYLIC ACID	79-10-7
acr	ACRYLONITRILE	107-13-1
snm	ACTINOMYCIN C	8052-16-2
act	ACTINOMYCIN D	50-76-0
adp	ADIPAMIDE	628-94-4
adm	ADRIAMYCIN	23214-92-8
af2	AF-2	3688-53-7
afl	AFLATOXICOL	29611-03-8
afb	AFLATOXIN B1	1162-65-8
afc	"AFLATOXIN, CRUDE"	1402-68-2
agr	AGAR	9002-18-0
alc	ALCLOFENAC	22131-79-9
adc	ALDICARB	116-06-3
ald	ALDRIN	309-00-2
abs	"ALKYLBENZENESULFONATE, LINEAR"	42615-29-2
ado	"ALKYLDIMETHYLAMINE OXIDES, COMMERCIAL GRADE"	mixture
alt	ALLANTOIN	97-59-6
ala	ALLYL ALCOHOL	107-18-6
cpr	ALLYL CHLORIDE	107-05-1
aye	ALLYL GLYCIDYL ETHER	106-92-3
aly	ALLYL ISOTHIOCYANATE	57-06-7
aiv	ALLYL ISOVALERATE	2835-39-4
all	1-ALLYL-1-NITROSOUREA	760-56-5
ahz	ALLYLHYDRAZINE.HCl	52207-83-7
aps	ALUMINUM POTASSIUM SULFATE	10043-67-1
abq	"1-AMINO-2,4-DIBROMOANTHRAQUINONE"	81-49-2
aca	3-AMINO-4-ETHOXYACETANILIDE	17026-81-2
ael	3-AMINO-9-ETHYLCARBAZOLE.HCl	6109-97-3
aec	3-AMINO-9-ETHYLCARBAZOLE MIXTURE	mixture
agm	"3-AMINO-4-[2-[(2-GUANIDINOTHIAZOL-4-YL)METHYLTHIO], ETHYLAMINO]-1,2,5-THIADIAZOLE"	---
maq	1-AMINO-2-METHYLANTHRAQUINONE	82-28-0
afo	"2-AMINO-5-(5-NITRO-2-FURYL)-1,3,4-OXADIAZOLE"	3775-55-1
aft	"2-AMINO-5-(5-NITRO-2-FURYL)-1,3,4-THIADIAZOLE"	712-68-5
anf	2-AMINO-4-(5-NITRO-2-FURYL)THIAZOLE	38514-71-5
ano	"trans-5-AMINO-3[2-(5-NITRO-2-FURYL)VINYL]-1,2,4-OXADIAZOLE"	28754-68-9
apl	2-AMINO-4-NITROPHENOL	99-57-0
ann	2-AMINO-5-NITROPHENOL	121-88-0
anp	4-AMINO-2-NITROPHENOL	119-34-6
npt	2-AMINO-4-(p-NITROPHENYL)THIAZOLE	2104-09-8
ant	2-AMINO-5-NITROTHIAZOLE	121-66-4
mgp	2-AMINO-5-PHENYL-2-OXAZOLIN-4-ONE + Mg(OH)2	18968-99-5
aaq	2-AMINOANTHRAQUINONE	117-79-3
oat	o-AMINOAZOTOLUENE	97-56-3
apa	6-AMINOCAPROIC ACID	60-32-2
4ab	4-AMINODIPHENYL	92-67-1
adh	4-AMINODIPHENYL.HCl	2113-61-3
abo	2-AMINODIPHENYLENE OXIDE	3693-22-9
mcx	1-(AMINOMETHYL)CYCLOHEXANEACETIC ACID	60142-96-3
bis	"2,2'-[(4-AMINOPHENYL)IMINO]BISETHANOL SULFATE"	54381-16-7
amt	3-AMINOTRIAZOLE	61-82-5
aua	11-AMINOUNDECANOIC ACID	2432-99-7
amn	AMMONIUM CHLORIDE	12125-02-9
amc	AMMONIUM CITRATE	3012-65-5
amx	AMMONIUM HYDROXIDE	1336-21-6
abb	AMOBARBITAL	57-43-2
ats	dl-AMPHETAMINE SULFATE	60-13-9
cil	AMPICILLIN TRIHYDRATE	7177-48-2
anu	1-AMYL-1-NITROSOUREA	10589-74-9
ams	AMYLOPECTIN SULFATE	9047-13-6
ate	ANETHOLE	104-46-1
tra	trans-ANETHOLE	4180-23-8
agc	ANHYDROGLUCOCHLORAL	15879-93-3
anz	ANILAZINE	101-05-3
anl	ANILINE	62-53-3
ani	ANILINE.HCl	142-04-1
oas	o-ANISIDINE.HCl	134-29-2
pas	p-ANISIDINE.HCl	20265-97-8
aaa	ANTHRANILIC ACID	118-92-3
anq	"9,10-ANTHRAQUINONE"	84-65-1
apt	ANTIMONY POTASSIUM TARTRATE	28300-74-5
arm	ARAMITE	140-57-8
ach	ARECOLINE.HCl	61-94-9
ars	"ARISTOLOCHIC ACID, SODIUM SALT (77% AA I, 21% AA II)"	10190-99-5
