strain,strname
aaa,Analbuminaemic (Sprague-Dawley derived)
aah,A/He
aap,Alpk:APfSD
abi,Ab x IF
aci,ACI
agu,AGUS
aif,A x IF
ain,ACI/n
ajj,A/JJms
akr,AKR
aks,AKR/J
alb,albino
amm,A
aps,AP Alderly Park
asd,Sprague-Dawley albino
asp,ASH-CS1
asw,Swiss-Webster albino
aug,August
ays,AE/WffC3Hf/Nctr x YS/WffC3Hf/Nctr
b46,BR 46
b62,Monohybrid cross offspring of B6CF1 (C57BL/6 x BALB/c)
b6a,B6AKF1
b6b,"(B6C3F1 x B6C3 background, brachymorphic) inter se = B6C3F2 br"
b6c,B6C3F1
b6n,"(B6C3F1 x B6C3 background, brachymorphic) inter se = B6C3F2 ph"
baa,Black a/a (YS x VY)F1
baj,BALB/cJ
bal,BALB/c
bbb,Bush babies [Galago crassicaudatus]
bbl,Bethesda black
bce,BALB/cHe
bcn,BALB/cStCrlfC3Hf/Nctr
bd1,BDF1
bd2,BD II
bd9,BD IX
bdf,BD VI
bdj,Crj:BDF1
bdr,BD
beg,Beagle
bfm,Buffalo-Mai
bld,BALB/cLacDp
buf,Buffalo
c17,C17
c3c,C3H/AnCum
c3d,C3Hf/Dp
c3e,C3HeB/Fe
c3h,C3H (MTV+)
c3j,C3H/HeJ (MTV+)
c3l,C3H (C3H/Anl) (Anl 70)
c3p,C3HeB
c3s,C3H/St (MTV+)
c3v,C3H/HeN-MTV-/Nctr (MTV-)
c56,C57BL/6J
c5c,C57BL/10ScSn
c5j,C57BL/10J
c5l,C57BL
c5n,C57BL/6N
c5v,C57BL/BVI
c6s,C57BL/6CrSlc
c7b,(C57BL/6 x BALB/c)F1
c7l,C57L
cb6,C57BL/6
cb7,CBA x C57BL
cba,CBA
cbc,CBA/Cb/Se
cbh,CBA/H-T6
cbj,C3HeB/FeJ
cbl,C57BL
cbn,C57BL/6JfC3Hf/Nctr x BALB/cStCrlfC3Hf/Nctr inter se
cbo,C.B. hooded
cbr,CB
cbs,Cb/Sc
cbt,Chester Beatty albino
cd1,Charles River CD1
cdf,CDF1
cdj,Crj: CD-1 (ICR)
cdr,Charles River CD (Sprague-Dawley)
cen,C3H/HeN
cf1,CF-1
cfe,CFE
cff,C57BL/6JfC3Hf/Nctr x BALB/cStCrlfC3Hf/Nctr
cfi,C3H/FIB
cfl,CFLP
cfn,CFN
cfr,CF
che,C57BL/He
chf,C3HfB
chg,C3H/He germfree
chh,C3H/He (MTV+)
chi,CD-1 HaM/ICR
chj,C3HeB/Jax
chm,Charles River
cif,(C57 x IF)F1
cj5,C57BL/6NCrj
clw,Colworth (Wistar derived)
crf,(C3H x RIII)F1 (MTV+)
crw,Charles River Crl:COBS(WI)BR
csa,Charles River albino
csb,CSb
csc,C57L/He x 129/Rr x C3HeB/De x SWR/Ly
ctn,CTM
cva,BALB/cStCrlfC3Hf/Nctr x VY/WffC3Hf/Nctr-(A/A)
cvy,BALB/cStCrlfC3Hf/Nctr x VY/WffC3Hf/Nctr-(Avy/A)
cwf,Carworth Farms
cws,CFW
cym,Cynomolgus [Macaca fascicularis]
d2b,D2B6F1 mice
dah,DA (from Hannover)
dba,DBA/2
dbx,DBA
ddd,DDD
ddn,ddNi
dds,Slc:ddY
ddx,dd
ddy,DDY
don,Donryu
esd,Eastern Sprague-Dawley
f34,Fischer 344
f3d,F344/DuCrj
f3j,Fischer 344/Jcl
f3l,Fischer 344/LATI
f3t,Fischer 344/Tox
fdr,FDRL
fds,Food and Drug Research Laboratories stock rats
fis,Fischer
fmf,Fischer 344/Mai fBR
hew,Hebrew University
hic,Ha/ICR
hra,HRA/Skh (hairless)
hrl,Harlan
hza,Holtzman albino (Sprague-Dawley derived)
ic3,ICRC x C3H (Jax)
ici,ICI
icm,ICR
icr,ICR/Jcl
ifc,IF x C57
ifm,IF
lca,LACA
leb,Long-Evans BLU:(LE)
lee,Leeds albino
lev,Long-Evans
lew,Lewis
lwj,LEW/Crj (Lewis)
mar,Marshall
mgr,Mongrel
mrc,MRC
mrw,MRC-Wistar
nbl,NBL/Cr
nbr,NBR
nbw,NZBW (hooded black and white strain)
nmb,"Bor:NMRI, SPF-bred NMRI"
nmh,Han:NMRI
nmo,Hoe:NMRKf (SPF71)
nmr,NMRI
non,Non-inbred
nra,Norwegian albino
nss,Not specified
nzb,NZO/BlGd
nzd,NZR/Gd
of1,OF1
ofs,OFA (Sprague-Dawley derived)
osm,Osborne-Mendel
por,MRC Porton (Wistar derived)
pva,Lean pseudoagouti Avy/a
r3m,RIII (MTV+)
rfm,RF
rhe,Rhesus [Macaca mulatta]
scd,Swiss CD-1
scp,Cpb:Swiss random
sda,Sprague-Dawley
sdf,SD x F344
sdi,IcoIbm:OFA (Sprague-Dawley derived)
sdj,SD(Crj:CD) Sprague-Dawley
sdz,Sandoz
sen,SENCAR
shc,Sherman COBS
she,Sherman
shj,SHR/Crj
shr,Swiss/H/Riop
sic,Swiss/ICR
sjd,Jcl:SD
sjs,SJL/J
sls,Slc-Wistar
smb,"Syrian, MB strain"
smw,Sas:MRC(WI)BR
ssa,S strain albino
ssk,SK&F Swiss
sss,Sprague-Dawley Spartan
stm,ST/a
swa,Swiss albino
swi,Swiss
swn,Swiss/NIH (Japan)
swr,SWR
sww,Swiss Webster
syg,Syrian Golden
tf1,Tuck
the,Theiller's Original
tmm,TM
tst,Tree shrew [Tupaia glis]
umh,UM-HET3
vms,VM
wag,WAG
wal,Wistar albino
whb,Han-Ibm Wistar
wi2,Wistar II
wid,Wistar/FDRL
wil,Wistar/LAC-P
win,Wistary/NIN
wio,Wistar-OSU
wis,Wistar
wky,WKY/NCrj (Wistar)
wmf,Wistar-Mai-Furth
wsb,BOR:WISW (Wistar)
wsh,Han:WIST
wsj,Crj:Wistar
wsk,SK&F Wistar
wsr,Wistar-random
wsw,Wilmslow Wistar
wws,Wistar W.74
xvi,XVII/G
yva,Obese yellow Avy/a
