tumor,tumname
---,all tumors
MXA,"more than one tumor type, combined by NCI/NTP"
MXB,"more than one tumor type, combined by Berkeley for the CPDB"
a/a,alveolar/bronchiolar adenoma
a/c,alveolar/bronchiolar carcinoma
abt,alveolar/bronchiolar tumor
aca,adenocarcinoma in adenomatous polyp
acb,alveolar/bronchiolar adenocarcinoma
acc,acinar-cell carcinoma
acn,"adenocarcinoma, NOS"
act,alveolar-cell tumor
ada,"adenocarcinoma, type A"
adb,"adenocarcinoma, type B"
adc,adenocarcinoma
ade,adenoma
adf,adenofibroma
adi,"adenocarcinoma, bilateral"
adm,"adenomatous polyp, NOS or adenocarcinoma in adenomatous polyp"
adn,"adenoma, NOS"
ado,adenoacanthoma
adp,adenomatous polyp
adq,adenosquamous carcinoma
aep,adenomatous endometrial polyp
agc,alveogenic adenocarcinoma
agf,angioma/fibroangioma
agm,angioma
agt,alveogenic tumor
ahs,axillary histiocytic sarcoma
akt,adenoma-like tumor
ala,alveolar-cell adenoma
alc,alveolar-cell carcinoma
ald,alveolar adenoma
ama,acanthoma
amy,adenomyoma
ana,acinar-cell adenoma
anb,"adenoma, bilateral"
ane,"angio-endothelioma, malignant"
ang,angiosarcoma
anl,acute nonlymphocytic leukemia
aoc,acinar-cell adenocarcinoma
aod,"adenocarcinoma, acinar or ductal"
apc,anaplastic carcinoma
apn,"adenomatous polyp, NOS"
asb,"astrocytoma, benign"
asl,"astrocytoma, malignant"
asm,adenocarcinoma with squamous metaplasia
ast,astrocytoma
ata,atypic adenoma
bca,basal-cell adenoma
bcc,basal-cell carcinoma
bcd,bronchiolar adenoma
bcp,basal-cell papilloma
bct,basal-cell tumor
bda,bile duct adenoma
bdb,"intrahepatic bile duct tumor, benign"
bdc,bile duct carcinoma
bde,bronchiolar adenocarcinoma
bdh,intrahepatic bile duct tumor
bdm,"intrahepatic bile duct tumor, malignant"
bdt,bile duct tumor
ben,benign tumor
bhp,"hepatoma, benign"
bht,"hepatocellular tumor, benign"
blc,biliary cystadenoma
bly,B-cell lymphoma
bro,bronchogenic carcinoma
bsa,basophil adenoma
bsb,"basosquamous tumor, benign"
bsn,basophilic nodule
caa,cholangioadenoma/carcinoma
cab,"cholangiocellular tumor, benign"
cac,cholangioadenocarcinoma
cad,cholangioadenoma
can,"carcinoma, NOS"
car,carcinoma
cas,carcinosarcoma
cca,c-cell adenoma
ccb,"c-cell carcinoma, bilateral"
ccn,"cystadenocarcinoma, NOS"
ccr,c-cell carcinoma
ccy,"cholangioma, cystic"
cdb,"c-cell adenoma, bilateral"
cgd,"cholangiocarcinoma, ductular"
cgf,cholangiofibroma
chc,cholangiosarcoma
cho,cholangioma
cic,"carcinoma, in situ"
cla,clear-cell adenoma
clc,cholangiocarcinoma
cnb,"carcinoma, bilateral"
cnd,"carcinoid tumor, malignant"
coa,cortical adenoma
coc,cortical carcinoma
con,"cortical adenoma, NOS"
cra,chromophobe adenoma
crc,chromophobe carcinoma
crn,"cortical adenocarcinoma, NOS"
crt,"carcinoma, combined glandular and squamous type"
csa,cortical subcapsular adenoma
cuc,ceruminous carcinoma
cvh,cavernous hemangioma
cyc,cystadenocarcinoma
cye,cystadenoma
cyn,"cystadenoma, NOS"
dhs,"deep cervical, histiocytic sarcoma"
dpp,ductal papilloma
ead,"endometrium, adenoma"
ecc,eccrine cylindroma
edc,"endometrium, adenocarcinoma"
emp,endometrial polyp
ena,endometrial adenocarcinoma
ene,esthesioneuroepithelioma
ens,endocardial sarcoma
epc,epidermoid carcinoma
epd,ependymoblastoma
epn,epithelial neoplasm
epo,epithelioma
ept,epidermoid tumor
esa,eosinophilic adenoma
esn,eosinophilic nodule
esp,endometrial stromal polyp
ess,endometrial stromal sarcoma
exa,exocrine adenoma
exp,exophytic papilloma
fab,"follicular-cell adenoma, bilateral"
fba,fibroadenoma
fbl,fibroleiomyoma
fbm,"fibroadenoma, multiple"
fbs,fibrosarcoma
fca,follicular-cell adenoma
fcc,follicular-cell carcinoma
fct,follicular-cell tumor
fcy,"follicular-cell adenocarcinoma, bilateral"
fdc,follicular adenocarcinoma
fep,fibroepithelial tumor
fib,fibroma
fih,fibrous histiocytoma
gca,granulosa-cell adenoma
gcb,"granulosa-cell tumor, benign"
gcc,granulosa-cell carcinoma
gcl,"granulosa-cell tumor, NOS"
gcm,"granulosa-cell tumor, malignant"
gct,granulosa-cell tumor
ghc,"hepatocellular carcinoma, glandular"
glb,"granulosa-cell tumor, bilateral"
gli,glioma
gln,"glioma, NOS"
glx,glial tumors (oligodendroglioma and astrocytoma)
gmf,"glioma malignant, focal, mild"
grb,"granular-cell tumor, benign"
grl,granulocytic leukemia
gsa,granulocytic sarcoma
hae,hemangioendothelioma
hca,hepatocellular carcinoma/adenoma
hcc,hepatocholangiocarcinoma
hch,hepatocholangioma
hcs,histiocytic sarcoma
hct,hepatocellular tumor
hem,hemangioma
hes,hemangiosarcoma
het,hemorrhagic tumor
hga,hemangiosarcoma anaplastic
hmb,"hemangioendothelioma, benign"
hmm,"hemangioendothelioma, malignant"
