100	"D E :Stevenson;txap,36,247-254;1976"
1000	"J R P :Cabral;clet,6,241-246;1979"
1001m	"C :Maltoni;banb,5,3-33;1980"
1001n	"C :Maltoni;banb,5,3-33;1980"
1002	"F P :Cleveland;aenh,13,195-198;1966"
1003	"R :Heywood;jept,2,835-851;1979"
1004	"W B :Deichmann;imed,39,426-434;1970"
1006	"N K :Clapp;jnci,61,177-180;1978"
1008	"M :Tatematsu;txlt,1,201-205;1978"
1010m	"D :Henschler;artx,43,237-248;1980/pers.comm."
1011	"B L :Van Duuren;jnci,63,1433-1439;1979"
1012	"L :Tomatis;zkko,82,25-35;1974"
1012m	"L :Tomatis;zkko,82,25-35;1974"
1012n	"L :Tomatis;zkko,82,25-35;1974"
1013	"D J :Svoboda;canr,32,908-911;1972"
1014	"C :Biancifiori;lapp,24,145-165;1964"
1017	"D :Schmahl;arzn,20,1461-1467;1970"
1018	"E :Grundmann;zkko,74,28-39;1970"
1021	"F :Leuschner;txlt,2,253-260;1978"
1027	"R P :Evarts;jnci,65,197-204;1980"
1028	"A W :Macklin;dact,3,135-163;1980"
1029	"R D :Kimbrough;jnci,53,547-549;1974"
1029m	"R D :Kimbrough;jnci,53,547-549;1974"
103	"A I T :Walker;fctx,11,415-432;1973"
1030	"E F :Stula;jept,1,31-50;1977"
1031m	"C :Kommineni;jept,2,149-171;1979"
1031n	"C :Kommineni;jept,2,149-171;1979"
1032	"L C K :Wong;txap,63,155-165;1982/Plotnick pers.comm."
1035	"P G :Wislocki;canr,37,1883-1891;1977"
1035a	"P G :Wislocki;canr,37,1883-1891;1977"
1035b	"P G :Wislocki;canr,37,1883-1891;1977"
1035c	"P G :Wislocki;canr,37,1883-1891;1977"
1035d	"P G :Wislocki;canr,37,1883-1891;1977"
1036	"M :Kanisawa;canr,29,892-895;1969"
1039	"S D :Vesselinovitch;canr,39,4378-4380;1979"
103a	"A I T :Walker;fctx,11,415-432;1973"
103b	"A I T :Walker;fctx,11,415-432;1973"
103c	"A I T :Walker;fctx,11,415-432;1973"
103d	"A I T :Walker;fctx,11,415-432;1973"
103e	"A I T :Walker;fctx,11,415-432;1973"
104	"M F :Argus;jnci,35,949-958;1965"
1040	"W B :Deichmann;txoc,407-413;1979"
1041	"J E :Nixon;jnci,53,453-458;1974"
1042a	"P :Borchert;canr,33,590-600;1973"
1042b	"P :Borchert;canr,33,590-600;1973"
1042c	"P :Borchert;canr,33,590-600;1973"
1044	"L S :Levy;anoh,17,213-220;1975"
1045	"L S :Levy;anoh,17,205-211;1975"
1048	"C A :Snyder;txap,54,323-331;1980"
105	"O G :Fitzhugh;jiht,28,40-43;1946"
1051	"B :Toth;bjca,34,90-93;1976"
1052	"B :Toth;carc,1,61-65;1980"
1053	"B :Toth;bjca,42,922-928;1980"
1054	"B :Toth;bjca,39,584-587;1979"
1055	"B :Toth;ejca,9,285-289;1973"
1056	"B :Toth;zkko,87,267-273;1976/1974"
1057	"B :Toth;carc,1,589-593;1980"
1060	"R J W :Cremlyn;fctx,9,319-321;1971"
1061	"E L :Schwartz;jnci,64,63-67;1980"
1063	"J E :Morris;canr,29,2145-2156;1969"
1063m	"J E :Morris;canr,29,2145-2156;1969"
1063n	"J E :Morris;canr,29,2145-2156;1969"
1064	"M :Rustia;jnci,63,863-868;1979"
1066	"J R M :Innes;ntis,1968/1969"
1068	"E :Erturk;canr,30,1309-1311;1970"
1069m	"M :Wood;ejca,5,41-47;1969"
1069n	"M :Wood;ejca,5,41-47;1969"
106a	"G H :Gass;jnci,33,971-977;1964"
1070	"L Y Y :Fong;fctx,19,179-183;1981"
1071	"S :Angsubhakorn;bjca,43,881-883;1981"
1073	"E :Erturk;jnci,47,437-445;1971/1970a"
1074	"C :Biancifiori;bjca,18,543-550;1964"
1075	"C :Burtin;bjca,43,684-688;1981"
1076	"S M :Cohen;canr,33,1593-1597;1973"
1077	"W A :Croft;jnci,51,941-949;1973"
1078	"V J :Feron;txcy,11,127-144;1978"
108	"J P :Gibson;txap,11,489-510;1967"
1081m	"K :Sasajima;zkko,94,201-206;1979"
1081n	"K :Sasajima;zkko,94,201-206;1979"
1082	"N :Matsukura;gann,70,181-185;1979"
1083	"J E :Nixon;jnci,66,1159-1163;1981"
1084	"B :Toth;onco,38,106-109;1981"
1086	"B K J :Leong;txap,58,269-281;1981"
1087	"M :Hirose;fctx,19,147-151;1981"
1089m	"R A :Goyer;jnci,66,869-880;1981/pers.comm."
1089n	"R A :Goyer;jnci,66,869-880;1981/pers.comm."
1090	"F J C :Roe;fctx,8,135-145;1970"
1091	"N :Takemura;bjca,30,481-483;1974"
1092	"J R M :Innes;ntis,1968/1969"
1093	"J R M :Innes;ntis,1968/1969"
1094	"J R M :Innes;ntis,1968/1969"
1095	"F J C :Roe;natu,216,375-376;1967"
1096	"J R M :Innes;ntis,1968/1969"
1097	"J R M :Innes;ntis,1968/1969"
1098	"J R M :Innes;ntis,1968/1969"
1099	"J R M :Innes;ntis,1968/1969"
109m	"A B :Okey;jnci,40,225-230;1968"
109n	"A B :Okey;jnci,40,225-230;1968"
109o	"A B :Okey;jnci,40,225-230;1968"
110	"E C :Hagan;txap,7,18-24;1965"
1100	"J R M :Innes;ntis,1968/1969"
1101	"J R M :Innes;ntis,1968/1969"
1102	"J R M :Innes;ntis,1968/1969"
1103	"J R M :Innes;ntis,1968/1969"
1104	"J R M :Innes;ntis,1968/1969"
1105	"E :Tahara;zkko,100,1-12;1981"
1108	"B :Toth;canr,32,804-807;1972/1967a"
1109	"J M :Barnes;natu,180,62-64;1957"
111	"J R M :Innes;ntis,1968/1969"
1110	"B :Toth;jnci,60,201-204;1978"
1112	"E K :Weisburger;jnci,67,75-88;1981"
1113m	"C B :Hong;jtxe,7,909-924;1981/1980"
1113n	"C B :Hong;jtxe,7,909-924;1981/1980"
1114	"I C :Munro;txap,32,513-526;1975"
1115	"B :Toth;scie,152,1376-1377;1966a"
1116	"B :Toth;expa,37,773-775;1981"
1117	"B :Toth;ijcn,9,109-118;1972/1969a"
1118	"S M :Cohen;canr,38,1398-1405;1978"
1119	"M :Herbst;txcy,4,91-96;1975"
112	"C :Hoch-Ligeti;jnci,53,791-793;1974"
1120	"E :Erturk;canr,30,1409-1412;1970"
1121	"S M :Cohen;canr,30,897-901;1970"
1122	"E :Erturk;canr,30,936-941;1970"
1123	"H D :Adolphs;urre,6,19-27;1978"
1124	"E :Erturk;canr,27,1998-2002;1967"
1125m	"E :Erturk;canr,29,2219-2228;1969"
1125n	"E :Erturk;canr,29,2219-2228;1969"
1126	"S M :Cohen;jnci,54,841-850;1975"
1126m	"S M :Cohen;jnci,54,841-850;1975"
1126n	"S M :Cohen;jnci,54,841-850;1975"
1127	"B :Toth;canr,26,1473-1475;1966"
1128	"K C :Snell;jnci,28,1043-1051;1962"
1129	"A :Horie;gann,56,429-441;1965"
1130m	"M :Gruenstein;canr,24,1656-1658;1964"
1130n	"M :Gruenstein;canr,24,1656-1658;1964"
1131	"G H :Gass;ircs,5,477;1977"
1133	"B L :Oser;txap,2,441-457;1960"
1134	"D :Schmahl;zkko,86,77-84;1976"
1135	"E :Vazquez-Lopez;bjca,3,401-414;1949"
1136	"R :Willheim;gaga,23,1-19;1953"
1139	"E :Loser;clet,9,191-198;1980"
1140	"J R M :Innes;ntis,1968/1969"
1141	"J R M :Innes;ntis,1968/1969"
1142	"A R :Sellakumar;jept,4,107-115;1980"
1143	"B L :Van Duuren;jnci,53,695-700;1974"
1144	"K :Morino;carc,3,93-97;1982"
1144m	"K :Morino;carc,3,93-97;1982"
1144n	"K :Morino;carc,3,93-97;1982"
1144o	"K :Morino;carc,3,93-97;1982"
1145m	"I :Hirono;clet,13,15-21;1981"
1145n	"I :Hirono;clet,13,15-21;1981"
1146	"D :Saito;tcam,1,213-221;1980"
1149n	"N :Ito;canr,36,2227-2234;1976"
1150	"D E :Hinton;bect,23,464-469;1979"
1151	"U :Green;zkko,95,51-55;1979"
1153	"J R M :Innes;ntis,1968/1969"
1155	"J R M :Innes;ntis,1968/1969"
1156	"J R M :Innes;ntis,1968/1969"
1157	"J R M :Innes;ntis,1968/1969"
1158	"J R M :Innes;ntis,1968/1969"
1160	"I :Chu;txap,59,268-278;1981"
1162	"R S :Yamamoto;jnci,51,1313-1315;1973"
1163	"J R :Cabral;tumo,66,131-144;1980"
1165	"D B :Clayson;bjca,19,297-310;1965/Williams 1962"
1167m	"S :Laskin;jnci,65,751-757;1980/Kuschner pers.comm."
117	"B :Toth;jnci,50,181-194;1973"
1170	"V J :Feron;txcy,13,131-141;1979/1979a"
1172	"D S :Longnecker;canc,47,1562-1572;1981"
1173m	"W :Lijinsky;canr,41,4997-5003;1981/pers.comm."
1173n	"W :Lijinsky;canr,41,4997-5003;1981/pers.comm."
1173o	"W :Lijinsky;canr,41,4997-5003;1981/pers.comm."
1174	"G :Rudali;reec,16,425-429;1971"
1175	"G :Rudali;jnci,49,813-819;1972"
1176	"E V :Brown;jnci,37,365-367;1966"
1178	"J R P :Cabral;tumo,68,11-17;1982"
1179	"J R P :Cabral;tumo,68,5-10;1982"
1180	"A G :Smith;clet,11,169-172;1980"
1181	"K M :Herrold;jnci,37,389-394;1966"
1184	"A :Maekawa;gann,70,777-781;1979"
1187	"A :Lacassagne;adsc,810-812;1959"
1188	"H :Tuchmann-Duplessis;adsc,254,1535-1537;1962"
1189	"M :Greenblatt;jnci,50,799-802;1973"
119	"B :Toth;ajpa,64,585-600;1971"
1191	"Y :Konishi;gann,69,573-577;1978"
1192	"D :Schmahl;arzn,28,49-51;1978"
1193	"J R M :Innes;ntis,1968/1969"
1194	"J R M :Innes;ntis,1968/1969"
1195	"M :Habs;clet,8,133-137;1979"
1196	"J R M :Innes;ntis,1968/1969"
1197	"J R M :Innes;ntis,1968/1969"
1198	"J R M :Innes;ntis,1968/1969"
1199	"J R M :Innes;ntis,1968/1969"
119a	"C M :Goodall;clet,1,295-298;1976"
1201	"M :Arai;gann,70,549-558;1979"
1202	"J R M :Innes;ntis,1968/1969"
1203	"J R M :Innes;ntis,1968/1969"
1204	"J R M :Innes;ntis,1968/1969"
1205	"J R M :Innes;ntis,1968/1969"
1206	"W :Lijinsky;canr,41,1288-1292;1981"
1207	"W :Lijinsky;clet,5,209-213;1978"
1208	"S S :Singer;canr,41,1034-1038;1981"
1209	"J R M :Innes;ntis,1968/1969"
1210	"J R M :Innes;ntis,1968/1969"
1211	"J R M :Innes;ntis,1968/1969"
1213	"J R M :Innes;ntis,1968/1969"
1214	"J R M :Innes;ntis,1968/1969"
1215	"J R M :Innes;ntis,1968/1969"
1216	"T :Ogiu;zkko,96,35-41;1980"
1217	"J R M :Innes;ntis,1968/1969"
1218	"J R M :Innes;ntis,1968/1969"
1219	"J R M :Innes;ntis,1968/1969"
1220	"J R M :Innes;ntis,1968/1969"
1221	"J R M :Innes;ntis,1968/1969"
1222	"J R M :Innes;ntis,1968/1969"
1223	"J R M :Innes;ntis,1968/1969"
1224	"N :Matsukura;scie,213,346-347;1981"
1225m	"S :Hosaka;clet,13,23-28;1981/Ohgaki 1991"
1227	"J R M :Innes;ntis,1968/1969"
1228	"J R M :Innes;ntis,1968/1969"
1229	"J R M :Innes;ntis,1968/1969"
122m	"B :Terracini;bjca,20,559-565;1967"
122n	"B :Terracini;bjca,20,559-565;1967"
1230	"J R M :Innes;ntis,1968/1969"
1231	"J R M :Innes;ntis,1968/1969"
1232	"J R M :Innes;ntis,1968/1969"
1233	"J R M :Innes;ntis,1968/1969"
1234	"J R M :Innes;ntis,1968/1969"
1235	"J R M :Innes;ntis,1968/1969"
1236	"J R M :Innes;ntis,1968/1969"
1237	"J R M :Innes;ntis,1968/1969"
1238	"J R M :Innes;ntis,1968/1969"
1239	"J R M :Innes;ntis,1968/1969"
124	"C :Hoch-Ligeti;bjca,24,164-167;1969"
1240	"J R M :Innes;ntis,1968/1969"
1241	"J R M :Innes;ntis,1968/1969"
1242	"J R M :Innes;ntis,1968/1969"
1243	"J R M :Innes;ntis,1968/1969"
1244	"J R M :Innes;ntis,1968/1969"
1245	"J R M :Innes;ntis,1968/1969"
1246	"O :Bulay;jnci,62,1523-1528;1979"
1247	"J R M :Innes;ntis,1968/1969"
1248	"J R M :Innes;ntis,1968/1969"
1249	"J R M :Innes;ntis,1968/1969"
125	"R J :Kociba;txap,30,275-286;1974"
1250	"M :Borzsonyi;canr,40,2925-2927;1980"
1251m	"J F :Quast;dcrp,,;1980"
1251n	"J F :Quast;dcrp,,;1980"
1251o	"J F :Quast;dcrp,,;1980"
1252	"J R M :Innes;ntis,1968/1969"
1253	"J R M :Innes;ntis,1968/1969"
1254	"J R M :Innes;ntis,1968/1969"
1255	"L M :Anderson;ijcn,24,319-322;1979"
1257	"A :Giner-Sorolla;fctx,18,81-83;1980"
1258	"E :Boyland;ejca,4,233-239;1968"
1259	"G :Eisenbrand;clet,5,103-106;1978"
1260	"E :Boyland;bjca,18,265-270;1964"
1261	"R :Preussmann;jnci,62,153-156;1979"
1262	"J R M :Innes;ntis,1968/1969"
1263	"J R M :Innes;ntis,1968/1969"
1264	"D :Schmahl;clet,1,215-218;1976"
1265	"B :Toth;nplm,27,25-31;1980"
1266	"B :Toth;myco,78,11-16;1982a"
1267	"B :Toth;jnci,67,881-887;1981"
1268m	"J F :Quast;dcfr,,;1980"
1268n	"J F :Quast;dcfr,,;1980"
1268o	"J F :Quast;dcfr,,;1980"
1268r	"J F :Quast;dcfr,,;1980"
127	"J C :Dacre;txap,17,669-678;1970"
1273	"R :Stoll;bdca,50,389-398;1963"
1274	"I :Chouroulinkov;bdca,54,67-78;1967"
1275	"G :Rudali;adsc,269,1910-1913;1969"
1276	"J R M :Innes;ntis,1968/1969"
1277	"J R M :Innes;ntis,1968/1969"
1278	"J R M :Innes;ntis,1968/1969"
1279	"J R M :Innes;ntis,1968/1969"
127a	"T F :McElligott;fctx,6,449-460;1968"
1280	"J R M :Innes;ntis,1968/1969"
1281	"J R M :Innes;ntis,1968/1969"
1282	"J R M :Innes;ntis,1968/1969"
